structural_family_id,member_count,malicious_count,benign_count,source_count
FAMILY_0183,0,0,0,0
FAMILY_0184,1,1,0,2
FAMILY_0185,1,1,0,1
FAMILY_0186,1,1,0,1
FAMILY_0187,1,1,0,1
FAMILY_0188,1,1,0,1
FAMILY_0189,1,1,0,1
FAMILY_0190,0,0,0,0
FAMILY_0191,2,2,0,3
FAMILY_0192,1,1,0,2
FAMILY_0193,1,1,0,3
FAMILY_0194,1,1,0,3
FAMILY_0195,0,0,0,0
FAMILY_0196,1,1,0,1
FAMILY_0197,1,1,0,1
FAMILY_0198,0,0,0,0
FAMILY_0199,1,1,0,1
FAMILY_0200,4,4,0,3
FAMILY_0201,1,1,0,3
FAMILY_0202,2,2,0,1
FAMILY_0203,1,1,0,1
FAMILY_0204,1,1,0,1
FAMILY_0205,2,2,0,1
FAMILY_0206,1,1,0,1
FAMILY_0207,1,1,0,1
FAMILY_0208,1,1,0,1
FAMILY_0209,1,1,0,1
FAMILY_0210,3,3,0,1
FAMILY_0211,2,2,0,1
FAMILY_0212,1,1,0,1
FAMILY_0213,2,2,0,1
FAMILY_0214,1,1,0,1
FAMILY_0215,2,2,0,1
FAMILY_0216,1,1,0,1
FAMILY_0217,1,1,0,1
FAMILY_0218,1,1,0,1
FAMILY_0219,1,1,0,1
FAMILY_0220,1,1,0,1
FAMILY_0221,1,1,0,1
FAMILY_0222,1,1,0,1
FAMILY_0223,1,1,0,1
FAMILY_0224,1,1,0,1
FAMILY_0225,1,1,0,1
FAMILY_0226,1,1,0,1
FAMILY_0227,1,1,0,1
FAMILY_0228,1,1,0,1
FAMILY_0229,2,2,0,1
FAMILY_0230,1,1,0,1
FAMILY_0231,1,1,0,1
FAMILY_0232,1,1,0,1
FAMILY_0233,1,1,0,1
FAMILY_0234,1,1,0,1
FAMILY_0235,1,1,0,1
FAMILY_0236,1,1,0,1
FAMILY_0237,2,2,0,1
FAMILY_0238,1,1,0,1
FAMILY_0239,1,1,0,1
FAMILY_0240,2,2,0,1
FAMILY_0241,1,1,0,1
FAMILY_0242,1,1,0,1
FAMILY_0243,1,1,0,1
FAMILY_0244,1,1,0,1
FAMILY_0245,2,2,0,1
FAMILY_0246,1,1,0,1
FAMILY_0247,1,1,0,1
FAMILY_0248,1,1,0,1
FAMILY_0249,1,1,0,1
FAMILY_0250,1,1,0,1
FAMILY_0251,1,1,0,1
FAMILY_0252,3,3,0,1
FAMILY_0253,4,4,0,1
FAMILY_0254,2,2,0,1
FAMILY_0255,1,1,0,1
FAMILY_0256,2,2,0,1
FAMILY_0257,2,2,0,1
FAMILY_0258,1,1,0,1
FAMILY_0259,1,1,0,1
FAMILY_0260,1,1,0,1
FAMILY_0261,1,1,0,1
FAMILY_0262,1,1,0,1
FAMILY_0263,1,1,0,1
FAMILY_0264,1,1,0,1
FAMILY_0265,3,3,0,1
FAMILY_0266,1,1,0,1
FAMILY_0267,1,1,0,1
FAMILY_0268,1,1,0,1
FAMILY_0269,1,1,0,1
FAMILY_0270,1,1,0,1
FAMILY_0271,2,2,0,1
FAMILY_0272,5,5,0,1
FAMILY_0273,2,2,0,1
FAMILY_0274,1,1,0,1
FAMILY_0275,2,2,0,1
FAMILY_0276,2,2,0,1
FAMILY_0277,1,1,0,1
FAMILY_0278,1,1,0,1
FAMILY_0279,1,1,0,1
FAMILY_0280,3,3,0,1
FAMILY_0281,1,1,0,1
FAMILY_0282,1,1,0,1
FAMILY_0283,1,1,0,1
FAMILY_0284,1,1,0,1
FAMILY_0285,1,1,0,1
FAMILY_0286,2,2,0,1
FAMILY_0287,1,1,0,1
FAMILY_0288,1,1,0,1
FAMILY_0289,2,2,0,1
FAMILY_0290,1,1,0,1
FAMILY_0291,1,1,0,1
FAMILY_0292,1,1,0,1
FAMILY_0293,1,1,0,1
FAMILY_0294,3,3,0,1
FAMILY_0295,1,1,0,1
FAMILY_0296,1,1,0,1
FAMILY_0297,2,2,0,1
FAMILY_0298,5,5,0,1
FAMILY_0299,1,1,0,1
FAMILY_0300,1,1,0,1
FAMILY_0301,1,1,0,1
FAMILY_0302,1,1,0,1
FAMILY_0303,2,2,0,1
FAMILY_0304,1,1,0,1
FAMILY_0305,2,2,0,1
FAMILY_0306,1,1,0,1
FAMILY_0307,1,1,0,1
FAMILY_0308,1,1,0,1
FAMILY_0309,1,1,0,1
FAMILY_0310,1,1,0,1
FAMILY_0311,3,3,0,1
FAMILY_0312,2,2,0,1
FAMILY_0313,1,1,0,1
FAMILY_0314,1,1,0,1
FAMILY_0315,1,1,0,1
FAMILY_0316,1,1,0,1
FAMILY_0317,1,1,0,1
FAMILY_0318,1,1,0,1
FAMILY_0319,1,1,0,1
FAMILY_0320,2,2,0,1
FAMILY_0321,1,1,0,1
FAMILY_0322,1,1,0,1
FAMILY_0323,1,1,0,1
FAMILY_0324,1,1,0,1
FAMILY_0325,1,1,0,1
FAMILY_0326,1,1,0,1
FAMILY_0327,1,1,0,1
FAMILY_0328,3,3,0,1
FAMILY_0329,1,1,0,1
FAMILY_0330,1,1,0,1
FAMILY_0331,1,1,0,1
FAMILY_0332,3,3,0,1
FAMILY_0333,1,1,0,1
FAMILY_0334,1,1,0,1
FAMILY_0335,1,1,0,1
FAMILY_0336,1,1,0,1
FAMILY_0337,2,2,0,1
FAMILY_0338,1,1,0,1
FAMILY_0339,1,1,0,1
FAMILY_0340,1,1,0,1
FAMILY_0341,2,2,0,1
FAMILY_0342,1,1,0,1
FAMILY_0343,2,2,0,1
FAMILY_0344,1,1,0,1
FAMILY_0345,1,1,0,1
FAMILY_0346,1,1,0,1
FAMILY_0347,1,1,0,1
FAMILY_0348,1,1,0,1
FAMILY_0349,1,1,0,1
FAMILY_0350,1,1,0,1
FAMILY_0351,1,1,0,1
FAMILY_0352,2,2,0,1
FAMILY_0353,2,2,0,1
FAMILY_0354,1,1,0,1
FAMILY_0355,1,1,0,1
FAMILY_0356,1,1,0,1
FAMILY_0357,1,1,0,1
FAMILY_0358,1,1,0,1
FAMILY_0359,1,1,0,1
FAMILY_0360,1,1,0,1
FAMILY_0361,2,2,0,1
FAMILY_0362,1,1,0,1
FAMILY_0363,1,1,0,1
FAMILY_0364,1,1,0,1
FAMILY_0365,1,1,0,1
FAMILY_0366,1,1,0,1
FAMILY_0367,1,1,0,1
FAMILY_0368,1,1,0,1
FAMILY_0369,1,1,0,1
FAMILY_0370,1,1,0,1
FAMILY_0371,1,1,0,1
FAMILY_0372,1,1,0,1
FAMILY_0373,1,1,0,1
FAMILY_0374,2,2,0,1
FAMILY_0375,1,1,0,1
FAMILY_0376,2,2,0,1
FAMILY_0377,1,1,0,1
FAMILY_0378,1,1,0,1
FAMILY_0379,1,1,0,1
FAMILY_0380,1,1,0,1
FAMILY_0381,1,1,0,1
FAMILY_0382,1,1,0,1
FAMILY_0383,1,1,0,1
FAMILY_0384,1,1,0,1
FAMILY_0385,1,1,0,1
FAMILY_0386,1,1,0,1
FAMILY_0387,1,1,0,1
FAMILY_0388,1,1,0,1
FAMILY_0389,1,1,0,1
FAMILY_0390,1,1,0,1
FAMILY_0391,1,1,0,1
FAMILY_0392,1,1,0,1
FAMILY_0393,1,1,0,1
FAMILY_0394,1,1,0,1
FAMILY_0395,1,1,0,1
FAMILY_0396,1,1,0,1
FAMILY_0397,1,1,0,1
FAMILY_0398,1,1,0,1
FAMILY_0399,1,1,0,1
FAMILY_0400,1,1,0,1
FAMILY_0401,1,1,0,1
FAMILY_0402,1,1,0,1
FAMILY_0403,1,1,0,1
FAMILY_0404,1,1,0,1
FAMILY_0405,1,1,0,1
FAMILY_0406,1,1,0,1
FAMILY_0407,2,2,0,1
FAMILY_0408,2,2,0,1
FAMILY_0409,4,4,0,1
FAMILY_0410,2,2,0,1
FAMILY_0411,1,1,0,1
FAMILY_0412,1,1,0,1
FAMILY_0413,1,1,0,1
FAMILY_0414,1,1,0,1
FAMILY_0415,1,1,0,1
FAMILY_0416,1,1,0,1
FAMILY_0417,1,1,0,1
FAMILY_0418,2,2,0,1
FAMILY_0419,1,1,0,1
FAMILY_0420,2,2,0,1
FAMILY_0421,2,2,0,1
FAMILY_0422,1,1,0,1
FAMILY_0423,3,3,0,1
FAMILY_0424,1,1,0,1
FAMILY_0425,1,1,0,1
FAMILY_0426,1,1,0,1
FAMILY_0427,1,1,0,1
FAMILY_0428,1,1,0,1
FAMILY_0429,1,1,0,1
FAMILY_0430,1,1,0,1
FAMILY_0431,2,2,0,1
FAMILY_0432,1,1,0,1
FAMILY_0433,1,1,0,1
FAMILY_0434,1,1,0,1
FAMILY_0435,1,1,0,1
FAMILY_0436,1,1,0,1
FAMILY_0437,1,1,0,1
FAMILY_0438,1,1,0,1
FAMILY_0439,1,1,0,1
FAMILY_0440,1,1,0,1
FAMILY_0441,2,2,0,1
FAMILY_0442,1,1,0,1
FAMILY_0443,2,2,0,1
FAMILY_0444,1,1,0,1
FAMILY_0445,1,1,0,1
FAMILY_0446,2,2,0,1
FAMILY_0447,1,1,0,1
FAMILY_0448,1,1,0,1
FAMILY_0449,2,2,0,1
FAMILY_0450,1,1,0,1
FAMILY_0451,1,1,0,1
FAMILY_0452,1,1,0,1
FAMILY_0453,1,1,0,1
FAMILY_0454,1,1,0,1
FAMILY_0455,1,1,0,1
FAMILY_0456,1,1,0,1
FAMILY_0457,1,1,0,1
FAMILY_0458,1,1,0,1
FAMILY_0459,1,1,0,1
FAMILY_0460,1,1,0,1
FAMILY_0461,1,1,0,1
FAMILY_0462,1,1,0,1
FAMILY_0463,1,1,0,1
FAMILY_0464,1,1,0,1
FAMILY_0465,1,1,0,1
FAMILY_0466,1,1,0,1
FAMILY_0467,1,1,0,1
FAMILY_0468,1,1,0,1
FAMILY_0469,1,1,0,1
FAMILY_0470,1,1,0,1
FAMILY_0471,1,1,0,1
FAMILY_0472,1,1,0,1
FAMILY_0473,1,1,0,1
FAMILY_0474,1,1,0,1
FAMILY_0475,1,1,0,1
FAMILY_0476,1,1,0,1
FAMILY_0477,1,1,0,1
FAMILY_0478,1,1,0,1
FAMILY_0479,1,1,0,1
FAMILY_0480,1,1,0,1
FAMILY_0481,1,1,0,1
FAMILY_0482,1,1,0,1
FAMILY_0483,1,1,0,1
FAMILY_0484,1,1,0,1
FAMILY_0485,2,2,0,1
FAMILY_0486,1,1,0,1
FAMILY_0487,1,1,0,1
FAMILY_0488,1,1,0,1
FAMILY_0489,2,2,0,1
FAMILY_0490,1,1,0,1
FAMILY_0491,1,1,0,1
FAMILY_0492,3,3,0,1
FAMILY_0493,1,1,0,1
FAMILY_0494,1,1,0,1
FAMILY_0495,1,1,0,1
FAMILY_0496,1,1,0,1
FAMILY_0497,1,1,0,1
FAMILY_0498,1,1,0,1
FAMILY_0499,1,1,0,1
FAMILY_0500,1,1,0,1
FAMILY_0501,8,8,0,3
FAMILY_0502,1,1,0,1
FAMILY_0503,1,1,0,1
FAMILY_0504,1,1,0,1
FAMILY_0505,1,1,0,1
FAMILY_0506,1,1,0,1
FAMILY_0507,1,1,0,1
FAMILY_0508,1,1,0,1
FAMILY_0509,1,1,0,1
FAMILY_0510,1,1,0,1
FAMILY_0511,1,1,0,1
FAMILY_0512,2,2,0,1
FAMILY_0513,1,1,0,1
FAMILY_0514,1,1,0,1
FAMILY_0515,1,1,0,1
FAMILY_0516,3,3,0,1
FAMILY_0517,1,1,0,1
FAMILY_0518,1,1,0,1
FAMILY_0519,1,1,0,1
FAMILY_0520,2,2,0,1
FAMILY_0521,1,1,0,1
FAMILY_0522,2,2,0,1
FAMILY_0523,1,1,0,1
FAMILY_0524,1,1,0,1
FAMILY_0525,2,2,0,1
FAMILY_0526,1,1,0,1
FAMILY_0527,1,1,0,1
FAMILY_0528,2,2,0,1
FAMILY_0529,1,1,0,1
FAMILY_0530,1,1,0,1
FAMILY_0531,1,1,0,1
FAMILY_0532,1,1,0,1
FAMILY_0533,1,1,0,1
FAMILY_0534,1,1,0,1
FAMILY_0535,4,4,0,1
FAMILY_0536,1,1,0,1
FAMILY_0537,1,1,0,1
FAMILY_0538,1,1,0,1
FAMILY_0539,1,1,0,1
FAMILY_0540,2,2,0,1
FAMILY_0541,2,2,0,1
FAMILY_0542,2,2,0,1
FAMILY_0543,2,2,0,1
FAMILY_0544,1,1,0,1
FAMILY_0545,1,1,0,1
FAMILY_0546,1,1,0,1
FAMILY_0547,1,1,0,1
FAMILY_0548,2,2,0,1
FAMILY_0549,1,1,0,1
FAMILY_0550,1,1,0,1
FAMILY_0551,1,1,0,1
FAMILY_0552,1,1,0,1
FAMILY_0553,1,1,0,1
FAMILY_0554,4,4,0,1
FAMILY_0555,1,1,0,1
FAMILY_0556,1,1,0,1
FAMILY_0557,1,1,0,1
FAMILY_0558,1,1,0,1
FAMILY_0559,1,1,0,1
FAMILY_0560,2,2,0,1
FAMILY_0561,1,1,0,1
FAMILY_0562,1,1,0,1
FAMILY_0563,1,1,0,1
FAMILY_0564,4,4,0,1
FAMILY_0565,1,1,0,1
FAMILY_0566,3,3,0,1
FAMILY_0567,4,4,0,3
FAMILY_0568,2,2,0,1
FAMILY_0569,1,1,0,1
FAMILY_0570,1,1,0,1
FAMILY_0571,1,1,0,1
FAMILY_0572,1,1,0,1
FAMILY_0573,2,2,0,1
FAMILY_0574,1,1,0,1
FAMILY_0575,1,1,0,1
FAMILY_0576,2,2,0,1
FAMILY_0577,1,1,0,1
FAMILY_0578,1,1,0,1
FAMILY_0579,1,1,0,1
FAMILY_0580,1,1,0,1
FAMILY_0581,1,1,0,1
FAMILY_0582,1,1,0,1
FAMILY_0583,1,1,0,1
FAMILY_0584,1,1,0,1
FAMILY_0585,1,1,0,1
FAMILY_0586,1,1,0,1
FAMILY_0587,2,2,0,1
FAMILY_0588,1,1,0,1
FAMILY_0589,1,1,0,1
FAMILY_0590,1,1,0,1
FAMILY_0591,1,1,0,1
FAMILY_0592,1,1,0,1
FAMILY_0593,4,4,0,1
FAMILY_0594,1,1,0,1
FAMILY_0595,1,1,0,1
FAMILY_0596,1,1,0,1
FAMILY_0597,1,1,0,1
FAMILY_0598,1,1,0,1
FAMILY_0599,1,1,0,1
FAMILY_0600,1,1,0,1
FAMILY_0601,1,1,0,1
FAMILY_0602,1,1,0,1
FAMILY_0603,2,2,0,1
FAMILY_0604,2,2,0,1
FAMILY_0605,1,1,0,1
FAMILY_0606,1,1,0,1
FAMILY_0607,1,1,0,1
FAMILY_0608,1,1,0,1
FAMILY_0609,1,1,0,1
FAMILY_0610,1,1,0,1
FAMILY_0611,1,1,0,1
FAMILY_0612,1,1,0,1
FAMILY_0613,1,1,0,1
FAMILY_0614,1,1,0,1
FAMILY_0615,1,1,0,1
FAMILY_0616,1,1,0,1
FAMILY_0617,1,1,0,1
FAMILY_0618,1,1,0,1
FAMILY_0619,2,2,0,1
FAMILY_0620,1,1,0,1
FAMILY_0621,1,1,0,1
FAMILY_0622,1,1,0,1
FAMILY_0623,1,1,0,1
FAMILY_0624,1,1,0,1
FAMILY_0625,1,1,0,1
FAMILY_0626,1,1,0,1
FAMILY_0627,1,1,0,1
FAMILY_0628,1,1,0,1
FAMILY_0629,1,1,0,1
FAMILY_0630,1,1,0,1
FAMILY_0631,1,1,0,1
FAMILY_0632,4,4,0,1
FAMILY_0633,1,1,0,1
FAMILY_0634,1,1,0,1
FAMILY_0635,1,1,0,1
FAMILY_0636,1,1,0,1
FAMILY_0637,1,1,0,1
FAMILY_0638,1,1,0,1
FAMILY_0639,2,2,0,1
FAMILY_0640,5,5,0,1
FAMILY_0641,1,1,0,1
FAMILY_0642,1,1,0,1
FAMILY_0643,1,1,0,1
FAMILY_0644,1,1,0,1
FAMILY_0645,1,1,0,1
FAMILY_0646,2,2,0,1
FAMILY_0647,1,1,0,1
FAMILY_0648,1,1,0,1
FAMILY_0649,1,1,0,1
FAMILY_0650,3,3,0,2
FAMILY_0651,1,1,0,1
FAMILY_0652,1,1,0,1
FAMILY_0653,2,2,0,1
FAMILY_0654,1,1,0,1
FAMILY_0655,2,2,0,1
FAMILY_0656,1,1,0,1
FAMILY_0657,1,1,0,1
FAMILY_0658,2,2,0,1
FAMILY_0659,1,1,0,1
FAMILY_0660,1,1,0,1
FAMILY_0661,2,2,0,1
FAMILY_0662,1,1,0,1
FAMILY_0663,1,1,0,1
FAMILY_0664,1,1,0,1
FAMILY_0665,1,1,0,1
FAMILY_0666,2,2,0,1
FAMILY_0667,1,1,0,1
FAMILY_0668,1,1,0,1
FAMILY_0669,1,1,0,1
FAMILY_0670,1,1,0,1
FAMILY_0671,1,1,0,1
FAMILY_0672,1,1,0,1
FAMILY_0673,1,1,0,1
FAMILY_0674,1,1,0,1
FAMILY_0675,1,1,0,1
FAMILY_0676,1,1,0,1
FAMILY_0677,1,1,0,1
FAMILY_0678,3,3,0,3
FAMILY_0679,5,5,0,5
FAMILY_0680,1,1,0,3
FAMILY_0681,1,1,0,1
FAMILY_0682,1,1,0,1
FAMILY_0683,1,1,0,1
FAMILY_0684,1,1,0,1
FAMILY_0685,1,1,0,1
FAMILY_0686,1,1,0,1
FAMILY_0687,1,1,0,1
FAMILY_0688,1,1,0,2
FAMILY_0689,1,1,0,1
FAMILY_0690,1,1,0,1
FAMILY_0691,1,1,0,1
FAMILY_0692,1,1,0,1
FAMILY_0693,1,1,0,1
FAMILY_0694,1,1,0,1
FAMILY_0695,1,1,0,1
FAMILY_0696,0,0,0,0
FAMILY_0697,0,0,0,0
FAMILY_0698,1,1,0,1
FAMILY_0699,1,1,0,1
FAMILY_0700,1,1,0,1
FAMILY_0701,1,1,0,1
FAMILY_0702,1,1,0,1
FAMILY_0703,1,1,0,1
FAMILY_0704,0,0,0,0
FAMILY_0705,1,1,0,1
FAMILY_0706,1,1,0,1
FAMILY_0707,1,1,0,1
FAMILY_0708,2,2,0,1
FAMILY_0709,1,1,0,1
FAMILY_0710,1,1,0,1
FAMILY_0711,1,1,0,1
FAMILY_0712,1,1,0,1
FAMILY_0713,1,1,0,1
FAMILY_0714,1,1,0,1
FAMILY_0715,1,1,0,1
FAMILY_0716,1,1,0,1
FAMILY_0717,1,1,0,1
FAMILY_0718,1,1,0,1
FAMILY_0719,1,1,0,1
FAMILY_0720,1,1,0,1
FAMILY_0721,1,1,0,1
FAMILY_0722,1,1,0,1
FAMILY_0723,1,1,0,1
FAMILY_0724,1,1,0,1
FAMILY_0725,1,1,0,1
FAMILY_0726,1,1,0,1
FAMILY_0727,3,3,0,1
FAMILY_0728,1,1,0,1
FAMILY_0729,1,1,0,1
FAMILY_0730,1,1,0,1
FAMILY_0731,1,1,0,1
FAMILY_0732,1,1,0,1
FAMILY_0733,1,1,0,1
FAMILY_0734,1,1,0,1
FAMILY_0735,1,1,0,1
FAMILY_0736,1,1,0,1
FAMILY_0737,1,1,0,1
FAMILY_0738,1,1,0,1
FAMILY_0739,1,1,0,1
FAMILY_0740,1,1,0,1
FAMILY_0741,1,1,0,1
FAMILY_0742,1,1,0,1
FAMILY_0743,1,1,0,1
FAMILY_0744,1,1,0,1
FAMILY_0745,1,1,0,1
FAMILY_0746,1,1,0,1
FAMILY_0747,1,1,0,1
FAMILY_0748,1,1,0,1
FAMILY_0749,1,1,0,1
FAMILY_0750,1,1,0,1
FAMILY_0751,1,1,0,1
FAMILY_0752,1,1,0,1
FAMILY_0753,3,3,0,1
FAMILY_0754,1,1,0,1
FAMILY_0755,2,2,0,1
FAMILY_0756,1,1,0,1
FAMILY_0757,1,1,0,1
FAMILY_0758,1,1,0,1
FAMILY_0759,1,1,0,1
FAMILY_0760,2,2,0,1
FAMILY_0761,1,1,0,1
FAMILY_0762,1,1,0,1
FAMILY_0763,1,1,0,1
FAMILY_0764,1,1,0,1
FAMILY_0765,1,1,0,1
FAMILY_0766,1,1,0,1
FAMILY_0767,1,1,0,1
FAMILY_0768,1,1,0,1
FAMILY_0769,1,1,0,1
FAMILY_0770,1,1,0,1
FAMILY_0771,1,1,0,1
FAMILY_0772,1,1,0,1
FAMILY_0773,1,1,0,1
FAMILY_0774,1,1,0,1
FAMILY_0775,1,1,0,1
FAMILY_0776,1,1,0,1
FAMILY_0777,2,2,0,1
FAMILY_0778,1,1,0,1
FAMILY_0779,2,2,0,1
FAMILY_0780,4,4,0,1
FAMILY_0781,1,1,0,1
FAMILY_0782,1,1,0,1
FAMILY_0783,1,1,0,1
FAMILY_0784,1,1,0,1
FAMILY_0785,1,1,0,1
FAMILY_0786,1,1,0,1
FAMILY_0787,1,1,0,1
FAMILY_0788,1,1,0,1
FAMILY_0789,2,2,0,1
FAMILY_0790,6,6,0,4
FAMILY_0791,2,2,0,1
FAMILY_0792,3,3,0,1
FAMILY_0793,2,2,0,1
FAMILY_0794,1,1,0,1
FAMILY_0795,2,2,0,1
FAMILY_0796,1,1,0,1
FAMILY_0797,1,1,0,1
FAMILY_0798,1,1,0,1
FAMILY_0799,1,1,0,1
FAMILY_0800,1,1,0,1
FAMILY_0801,1,1,0,1
FAMILY_0802,1,1,0,1
FAMILY_0803,1,1,0,1
FAMILY_0804,3,3,0,1
FAMILY_0805,1,1,0,1
FAMILY_0806,1,1,0,1
FAMILY_0807,2,2,0,1
FAMILY_0808,1,1,0,1
FAMILY_0809,1,1,0,1
FAMILY_0810,1,1,0,1
FAMILY_0811,1,1,0,1
FAMILY_0812,3,3,0,1
FAMILY_0813,1,1,0,1
FAMILY_0814,1,1,0,1
FAMILY_0815,1,1,0,1
FAMILY_0816,2,2,0,1
FAMILY_0817,1,1,0,1
FAMILY_0818,1,1,0,1
FAMILY_0819,1,1,0,1
FAMILY_0820,1,1,0,1
